      0.1              0.05             0.025            0.01             
81    2.95033817722859 3.13634379841059 3.31056158026029 3.52532384910321 
82    2.95468933537283 3.14068425875739 3.31493539213332 3.52979677234593 
83    2.95897922188395 3.14496217008184 3.31924453995459 3.53420120274876 
84    2.96320944506082 3.14917920504016 3.32349078700268 3.53853905527064 
85    2.96738155217021 3.15333697180423 3.32767582749121 3.54281216840561 
86    2.97149703245629 3.15743701728562 3.33180129006863 3.54702230811976 
87    2.9755573199683  3.16148083016251 3.33586874110182 3.5511711715381  
88    2.97956379621953 3.16546984372398 3.33987968775848 3.55526039040693 
89    2.98351779268939 3.1694054385441  3.34383558090334 3.55929153434075 
90    2.98742059317954 3.173288944998   3.34773781782161 3.56326611387497 
91    2.99127343603388 3.17712164563135 3.35158774478135 3.56718558333485 
